化疗	1482136527117
化疗药物	1482136617229
化疗药物 药物机理	1482136702184
化疗药物 药物机理	1482136803580
病灶内	1482136956502
静脉滴注 化学疗法	1482137225867
紫衫类 化疗	1482137437762
紫衫类 化疗 使用情况	1482137580805
紫衫类 化疗 血糖增高	1482137661236
化疗 副作用	1482137721465
紫杉类 适用	1482308924147
紫杉类 血糖升高	1482309005184
紫杉类 副作用	1482309072020
化疗 尿毒症	1482309216388
化疗 治疗手段	1482309276971
化疗 静脉给药	1482309409018
化疗 介入治疗	1482309600405
化疗 介入治疗 隐患	1482309750450
化疗 腔内给药	1482309790059
化疗 腔内给药 毒副反应	1482309896743
中医药联合化疗	1482310004527
化疗药物 机理	1482310068450
化疗 抗生素	1482310301204
化疗 耐药性	1482476584269
化疗 常用药物	1482476604629
链毒素	1482476721606
利福平	1482476762943
异烟肼	1482476983647
表阿霉素 药物机理	1482477322782
联合中药 抗肿瘤	1482477429532
消炎汤剂	1482477549183
消岩汤剂	1482477559227
博莱霉素/治疗应用	1482477757078
常见化疗药物 药物机理	1482477869785
药物机理 癌症	1482477901061
治疗癌症的机理	1482477954055
